transaction_id,product_id,product_name,product_qty,product_total_price
207,0,Quince Paste,1,$15.00
207,92,Tunworth,2,$40.00
207,101,Berkswell,1,$18.00
207,108,Fine English Bath Ovals,1,$5.00
207,127,Mondovino Black Olive Crackers,1,$5.00
207,129,Mondovino Crème Fraîche & Spring Onion Cracker,1,$5.00
207,130,Mondovino Moroccan Seed & Nut Crackers,1,$5.00
207,145,Old English Chutney with Cider,1,$5.00
208,100,St Maure de Touraine,2,$40.00
209,95,Gorgonzola Dolce,1,$10.00
209,109,Fine English Oatcakes,1,$7.00
209,125,Fine Cheese Co. Cheddar (200g),1,$10.00
209,127,Mondovino Black Olive Crackers,1,$7.00
209,173,Jindi Triple Cream Brie,1,$8.00
209,194,Camembert Pere Eugene,1,$12.00
210,90,Brie de Meaux AOC,1,$16.00
210,94,Morbier,1,$15.00
210,189,Vacherin Mont D'or,1,$40.00
210,190,Golden Cenarth,1,$20.00
211,90,Brie de Meaux AOC,1,$16.00
211,94,Morbier,1,$15.00
211,190,Golden Cenarth,1,$20.00
213,0,Attendance,1,$75.00
213,0,Condiments,1,$70.00
214,189,Vacherin Mont D'or,1,$40.00
215,85,Reypenaer V.S.O.P. Gouda,1,$25.00
215,99,Parmesan Reggiano,1,$30.00
215,164,Fine Cheese Co. Cheddar (400g),1,$19.00
215,182,Epoisses AOC (prepacked truckle 250g),1,$27.00
215,187,Comte Extra Mature (12 Months),1,$17.50
215,190,Golden Cenarth,1,$20.00
216,184,Raclette,1,$15.00
216,189,Vacherin Mont D'or,1,$40.00
217,88,Wigmore,1,$18.00
217,96,Camembert de Normandie (AOC),1,$18.00
217,97,Von Mühlenen Premier Cru Gruyère,1,$20.00
217,100,St Maure de Touraine,1,$20.00
217,182,Epoisses AOC (prepacked truckle 250g),1,$27.00
218,99,Parmesan Reggiano,2,$35.00
219,96,Camembert de Normandie (AOC),2,$36.00
219,182,Epoisses AOC (prepacked truckle 250g),2,$54.00
219,189,Vacherin Mont D'or,1,$40.00
220,96,Camembert de Normandie (AOC),1,$18.00
220,160,Perl Las,1,$18.00
220,161,Fourme D'Ambert Xavier Morin,1,$18.00
220,194,Camembert Pere Eugene,1,$12.00
221,85,Reypenaer V.S.O.P. Gouda,13,$715.00
221,86,Cornish Yarg,7,$280.00
222,96,Camembert de Normandie (AOC),2,$22.00
223,90,Brie de Meaux AOC,6,$66.00
223,125,Fine Cheese Co. Cheddar (200g),6,$48.00
225,125,Fine Cheese Co. Cheddar (200g),1,$10.00
225,170,Manor Farm Mild Cheddar,1,$5.00
225,177,Dambuster Mature Farmhouse Cheddar (200g),1,$11.00
225,178,Barbers 1833 Vintage Reserve Cheddar,1,$12.50
226,83,Colston Basset Shropshire,1,$17.50
226,84,Cornish Blue,1,$20.00
226,96,Camembert de Normandie (AOC),1,$18.00
226,160,Perl Las,1,$18.00
226,187,Comte Extra Mature (12 Months),1,$35.00
228,189,Vacherin Mont D'or,1,$22.00
229,0,Stilton - 0.95kg,1,$42.75
229,194,Camembert Pere Eugene,3,$24.00
230,100,St Maure de Touraine,3,$60.00
231,86,Cornish Yarg,1,$20.00
231,90,Brie de Meaux AOC,1,$16.00
231,96,Camembert de Normandie (AOC),1,$18.00
231,115,Red Hot Chilli Crackers,1,$7.00
231,160,Perl Las,1,$18.00
231,175,Quince Paste for Cheese,1,$12.00
233,115,Red Hot Chilli Crackers,1,$4.70
233,172,King Island Roaring Forties Blue Cheese,1,$23.00
233,177,Dambuster Mature Farmhouse Cheddar (200g),2,$14.60
234,182,Epoisses AOC (prepacked truckle 250g),1,$27.00
235,83,Colston Basset Shropshire,1,$70.00
235,84,Cornish Blue,1,$80.00
235,96,Camembert de Normandie (AOC),4,$72.00
236,82,Colston Bassett Stilton,3,$37.50
236,83,Colston Basset Shropshire,3,$37.50
236,90,Brie de Meaux AOC,5,$75.00
236,96,Camembert de Normandie (AOC),12,$75.00
237,96,Camembert de Normandie (AOC),1,$10.70
237,113,Chive Crackers,1,$4.70
237,176,Damson Fruit Purée for Cheese,1,$8.00
237,190,Golden Cenarth,1,$11.50
237,192,Petit Munster,1,$6.80
237,193,Perl Wen,2,$21.80
238,90,Brie de Meaux AOC,15,$75.00
238,97,Von Mühlenen Premier Cru Gruyère,9,$157.50
239,99,Parmesan Reggiano (30 months),1,$25.00
239,111,Fig Fruit Purée for Cheese,1,$12.00
239,113,Chive Crackers,1,$7.00
240,177,Dambuster Mature Farmhouse Cheddar (200g),5,$33.00
241,97,Von Mühlenen Premier Cru Gruyère,1,$20.00
241,189,Vacherin Mont D'or,2,$40.00
242,104,Olive Oil and Sea Salt Crackers,3,$14.10
242,109,Fine English Oatcakes,1,$3.65
242,129,Mondovino Crème Fraîche & Spring Onion Cracker,1,$5.25
242,190,Golden Cenarth,2,$23.00
242,211,Soumaintrain Berthaut,1,$16.00
243,96,Camembert de Normandie (AOC),1,$18.00
243,192,Petit Munster,1,$11.00
244,161,Fourme D'Ambert Xavier Morin,1,$18.00
244,189,Vacherin Mont D'or,1,$30.00
244,190,Golden Cenarth,1,$20.00
244,192,Petit Munster,1,$11.00
244,193,Perl Wen,1,$20.00
245,100,St Maure de Touraine,3,$54.00
245,189,Vacherin Mont D'or,2,$56.00
245,195,Fearn Abbey,2,$30.00
246,189,Vacherin Mont D'or,2,$60.00
248,0,Keen's Cheddar (0.45kg),1,$20.25
248,100,St Maure de Touraine,3,$60.00
249,125,Fine Cheese Co. Cheddar (200g),6,$48.00
249,164,Fine Cheese Co. Cheddar (400g),6,$96.00
250,95,Gorgonzola Dolce,1,$17.50
250,170,Manor Farm Mild Cheddar,1,$5.00
250,173,Jindi Triple Cream Brie,1,$8.00
250,187,Comte Extra Mature (12 Months),1,$17.50
251,161,Fourme D'Ambert Xavier Morin,1,$18.00
251,162,Reblochon Fermier,1,$16.00
251,187,Comte Extra Mature (12 Months),1,$17.50
252,98,Comté Marcel Petite,1,$18.00
252,184,Raclette,1,$60.00
253,97,Von Mühlenen Premier Cru Gruyère,1,$20.00
