date,mean_sea_level_RLR,col_1,col_2
2014.625,7095,0,0
2014.7083,7097,0,0
2014.7917,7181,0,0
2014.875,7222,0,0
2014.9583,7262,0,0
2015.0417,7248,0,0
2015.125,7130,0,0
2015.2083,7086,0,0
2015.2917,7064,0,0
2015.375,7041,0,0
2015.4583,7033,0,0
2015.5417,7031,0,0
2015.625,7043,0,0
2015.7083,7047,0,0
2015.7917,7102,0,0
2015.875,7127,0,0
2015.9583,7231,0,0
2016.0417,7161,0,0
2016.125,7209,0,0
2016.2083,7109,0,0
2016.2917,7057,0,0
2016.375,7119,0,0
2016.4583,7104,0,0
2016.5417,7102,0,0
2016.625,7071,0,0
2016.7083,7137,0,0
2016.7917,7146,0,0
2016.875,7212,0,0
2016.9583,7265,0,0
2017.0417,7249,0,0
2017.125,7187,0,0
2017.2083,7118,0,0
2017.2917,7100,0,0
2017.375,7084,0,0
2017.4583,7084,0,0
2017.5417,7054,0,0
2017.625,7093,0,0
2017.7083,7123,0,0
2017.7917,7215,0,0
2017.875,7250,0,0
2017.9583,7293,0,0
2018.0417,7219,0,0
2018.125,7183,0,0
2018.2083,7117,0,0
2018.2917,7103,0,0
2018.375,7088,0,0
2018.4583,7063,0,0
2018.5417,7072,0,0
2018.625,7099,0,0
2018.7083,7103,0,0
2018.7917,7192,0,0
2018.875,7228,0,0
2018.9583,7234,0,0
2019.0417,7222,0,0
2019.125,7112,0,0
2019.2083,7093,0,0
2019.2917,7096,0,0
2019.375,7123,0,0
2019.4583,7068,0,0
2019.5417,7064,0,0
2019.625,7040,0,0
2019.7083,7087,0,0
2019.7917,7104,0,0
2019.875,7174,0,0
2019.9583,7199,0,0
2020.0417,7147,0,0
2020.125,7179,0,0
2020.2083,7064,0,0
2020.2917,7112,0,0
2020.375,7109,0,0
2020.4583,7105,0,0
2020.5417,7117,0,0
2020.625,7108,0,0
2020.7083,-99999,0,0
2020.7917,7259,0,0
2020.875,7261,0,0
2020.9583,7304,0,0
